stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,No. of Trails Conducted,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,2,10,0.0274564,,0.0079626,0.0274564,0.5420757,0.5420757,0.5619292,0.8443998,1.3118457,right,1,10,1,1,0.7466783,177636,1,2024-09-12_09h54.32.787,adaptive_staircase,2024.1.5,None,2024-09-12 09h54.37.735765 +0530
1,2,8,1.3243988,,1.3120169,1.3243988,1.8113207,1.8113207,1.8277151,2.1110297,2.4954886,left,2,-8,1,1,0.6710531,177636,1,2024-09-12_09h54.32.787,adaptive_staircase,2024.1.5,None,2024-09-12 09h54.37.735765 +0530
2,2,6,2.5117816,,2.4956271,2.5117816,2.9946367,2.9946367,3.0116028,3.295097,3.5134764,left,3,-6,1,1,0.5168269,177636,1,2024-09-12_09h54.32.787,adaptive_staircase,2024.1.5,None,2024-09-12 09h54.37.735765 +0530
3,2,4,3.5276044,,3.513643,3.5276044,4.0276402,4.0276402,4.0276402,4.3267855,4.4808718,right,4,4,1,1,0.4511891,177636,1,2024-09-12_09h54.32.787,adaptive_staircase,2024.1.5,None,2024-09-12 09h54.37.735765 +0530
4,1,2,4.4945086,,4.4810142,4.4945086,4.9950231,4.9950231,4.9950231,5.2944029,5.563689,left,5,-2,0,0,0.5594779,177636,1,2024-09-12_09h54.32.787,adaptive_staircase,2024.1.5,None,2024-09-12 09h54.37.735765 +0530
5,1,3,5.5779922,,5.563898,5.5779922,6.0778631,6.0778631,6.0778631,6.377882,6.5463565,right,6,3,0,0,0.4534718,177636,1,2024-09-12_09h54.32.787,adaptive_staircase,2024.1.5,None,2024-09-12 09h54.37.735765 +0530
6,1,4,6.5605287,,6.5465148,6.5605287,7.0617473,7.0617473,7.0617473,7.3606551,7.8964273,left,7,-4,0,0,0.8177637,177636,1,2024-09-12_09h54.32.787,adaptive_staircase,2024.1.5,None,2024-09-12 09h54.37.735765 +0530
7,1,5,7.9107427,,7.896588,7.9107427,8.4117099,8.4117099,8.4117099,8.7115322,8.9790114,right,8,5,1,1,0.555709,177636,1,2024-09-12_09h54.32.787,adaptive_staircase,2024.1.5,None,2024-09-12 09h54.37.735765 +0530
8,1,5,8.9942719,,8.9791734,8.9942719,9.4947315,9.4947315,9.4947315,9.7936221,10.2303771,left,9,-5,0,0,0.7220229,177636,1,2024-09-12_09h54.32.787,adaptive_staircase,2024.1.5,None,2024-09-12 09h54.37.735765 +0530
9,1,6,10.2445961,,10.2305582,10.2445961,10.744109,10.744109,10.744109,11.044779,11.280371,left,10,-6,0,0,0.5260125,177636,1,2024-09-12_09h54.32.787,adaptive_staircase,2024.1.5,None,2024-09-12 09h54.37.735765 +0530
10,1,7,11.2949762,,11.2805236,11.2949762,11.7944006,11.7944006,11.8113943,12.0931987,12.2466525,right,11,7,0,0,0.4413966,177636,1,2024-09-12_09h54.32.787,adaptive_staircase,2024.1.5,None,2024-09-12 09h54.37.735765 +0530
11,1,8,12.2599437,,12.2468473,12.2599437,12.7602712,12.7602712,12.7602712,13.0613245,13.4796129,left,12,-8,0,0,0.7087811,177636,1,2024-09-12_09h54.32.787,adaptive_staircase,2024.1.5,None,2024-09-12 09h54.37.735765 +0530
12,1,9,13.4940747,,13.4797631,13.4940747,13.9951385,13.9951385,13.9951385,14.2951682,14.6802513,right,13,9,0,0,0.6773854,177636,1,2024-09-12_09h54.32.787,adaptive_staircase,2024.1.5,None,2024-09-12 09h54.37.735765 +0530
13,1,10,14.6937906,,14.6804106,14.6937906,15.1944741,15.1944741,15.1944741,15.4945368,18.6634836,left,14,-10,1,1,3.4616474,177636,1,2024-09-12_09h54.32.787,adaptive_staircase,2024.1.5,None,2024-09-12 09h54.37.735765 +0530
14,1,10,18.6772214,,18.6636236,18.6772214,19.1771967,19.1771967,19.1771967,19.4772343,19.8303172,right,15,10,1,1,0.6474117,177636,1,2024-09-12_09h54.32.787,adaptive_staircase,2024.1.5,None,2024-09-12 09h54.37.735765 +0530
15,1,10,19.8438058,,19.8304608,19.8438058,20.344275,20.344275,20.344275,20.6447131,20.8617453,right,16,10,1,1,0.502638,177636,1,2024-09-12_09h54.32.787,adaptive_staircase,2024.1.5,None,2024-09-12 09h54.37.735765 +0530
16,1,9,20.877708,,20.8618999,20.877708,21.3607393,21.3607393,21.377096,21.6615802,21.9292811,left,17,-9,1,1,0.5625414,177636,1,2024-09-12_09h54.32.787,adaptive_staircase,2024.1.5,None,2024-09-12 09h54.37.735765 +0530
17,1,9,21.943638,,21.9294323,21.943638,22.443576,22.443576,22.443576,22.7448017,22.8457599,left,18,-9,1,1,0.3884502,177636,1,2024-09-12_09h54.32.787,adaptive_staircase,2024.1.5,None,2024-09-12 09h54.37.735765 +0530
18,1,9,22.8606941,,22.8459452,22.8606941,23.3607461,23.3607461,23.3607461,23.6617987,23.8303298,right,19,9,1,1,0.460741,177636,1,2024-09-12_09h54.32.787,adaptive_staircase,2024.1.5,None,2024-09-12 09h54.37.735765 +0530
19,0.5,8,23.8437677,,23.8304929,23.8437677,24.3448907,24.3448907,24.3448907,24.6440931,24.8951765,left,20,-8,0,0,0.5359156,177636,1,2024-09-12_09h54.32.787,adaptive_staircase,2024.1.5,None,2024-09-12 09h54.37.735765 +0530
20,0.5,8.5,24.9101944,,24.8953238,24.9101944,25.4110495,25.4110495,25.4110495,,25.6795274,right,21,8.5,0,0,0.2610887,177636,1,2024-09-12_09h54.32.787,adaptive_staircase,2024.1.5,None,2024-09-12 09h54.37.735765 +0530
21,0.5,9,25.6939079,,25.6796732,25.6939079,26.1939723,26.1939723,26.1939723,26.4947617,26.9956399,right,22,9,1,1,0.7955208,177636,1,2024-09-12_09h54.32.787,adaptive_staircase,2024.1.5,None,2024-09-12 09h54.37.735765 +0530
22,0.5,9,27.0104957,,26.9957674,27.0104957,27.5111975,27.5111975,27.5111975,27.8115773,28.2458275,left,23,-9,1,1,0.7273934,177636,1,2024-09-12_09h54.32.787,adaptive_staircase,2024.1.5,None,2024-09-12 09h54.37.735765 +0530
