reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
49,60,89,0,0,0,4,0.17640370002482086,,0.013626900035887957,0.17640370002482086,1.0037563999649137,1.0037563999649137,1.1871383000398055,4.389075399958529,t,3.381317300023511,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
67,75,119,0,1,1,5,4.407419200055301,,4.390938400058076,4.407419200055301,5.403769999975339,5.403769999975339,5.420023999991827,7.689210599986836,t,2.2834525000071153,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
40,55,62,0,2,2,3,7.704058600007556,,7.690271200030111,7.704058600007556,8.703281000023708,8.703281000023708,8.703281000023708,10.405469399993308,t,1.690377700026147,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
27,50,21,0,3,3,2,10.419919100007974,,10.406767199980095,10.419919100007974,11.420114299980924,11.420114299980924,11.420114299980924,13.272074399981648,t,1.8467161000007764,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
78,80,162,0,4,4,6,13.286810799967498,,13.273361600004137,13.286810799967498,14.28676990000531,14.28676990000531,14.28676990000531,15.822762800031342,t,1.5336423999397084,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
11,30,7,0,5,5,0,15.838469499954954,,15.82400779996533,15.838469499954954,16.836864999961108,16.836864999961108,16.853423799970187,18.288764500059187,l,1.4451464000158012,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
15,35,43,0,6,6,1,18.303401799988933,,18.289936800021678,18.303401799988933,19.303396999952383,19.303396999952383,19.303396999952383,23.25526180001907,t,3.941292700008489,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
78,80,162,1,0,7,6,23.269943800056353,,23.256389099988155,23.269943800056353,24.27001650002785,24.27001650002785,24.27001650002785,25.555179100017995,t,1.2739652999443933,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
27,50,21,1,1,8,2,25.56994279997889,,25.556408799951896,25.56994279997889,26.569893599953502,26.569893599953502,26.569893599953502,28.104019099962898,t,1.5271967999869958,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
15,35,43,1,2,9,1,28.12002020003274,,28.10456799995154,28.12002020003274,29.119995999964885,29.119995999964885,29.119995999964885,31.771579800057225,t,2.6378297000192106,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
40,55,62,1,3,10,3,31.78642050002236,,31.772784000029787,31.78642050002236,32.78657690004911,32.78657690004911,32.78657690004911,36.28820579999592,t,3.486210100003518,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
49,60,89,1,4,11,4,36.30309639999177,,36.289614200009964,36.30309639999177,37.30311049998272,37.30311049998272,37.30311049998272,38.82178080000449,t,1.5051703000208363,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
11,30,7,1,5,12,0,38.83638880006038,,38.822942700004205,38.83638880006038,39.83642239996698,39.83642239996698,39.83642239996698,40.888087400002405,l,1.0375559000531211,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
67,75,119,1,6,13,5,40.90321260003839,,40.889135199948214,40.90321260003839,41.90304819995072,41.90304819995072,41.90304819995072,44.65448170003947,t,2.746665600105189,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
11,30,7,2,0,14,0,44.66967309999745,,44.65543180005625,44.66967309999745,45.669799000024796,45.669799000024796,45.669799000024796,48.45497520000208,l,2.7777554000495,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
67,75,119,2,1,15,5,48.4697161000222,,48.456162599963136,48.4697161000222,49.469609200023115,49.469609200023115,49.469609200023115,51.6212481999537,t,2.1358537999913096,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
49,60,89,2,2,16,4,51.63614389998838,,51.6225271000294,51.63614389998838,52.63620840001386,52.63620840001386,52.63620840001386,57.82169829995837,t,5.177881599985994,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
40,55,62,2,3,17,3,57.83603330003098,,57.82285889994819,57.83603330003098,58.83610069996212,58.83610069996212,58.83610069996212,60.02147050003987,t,1.1802993000019342,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
27,50,21,2,4,18,2,60.03607150004245,,60.022548499982804,60.03607150004245,61.03605730005074,61.03605730005074,61.03605730005074,64.2548254999565,l,3.209104499896057,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
15,35,43,2,5,19,1,64.2693084999919,,64.25592110003345,64.2693084999919,65.26969690003898,65.26969690003898,65.26969690003898,67.88780689996202,t,2.6008392999647185,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
78,80,162,2,6,20,6,67.90258820005693,,67.88895539997611,67.90258820005693,68.90248589997645,68.90248589997645,68.90248589997645,71.38716759998351,t,2.4735332999844104,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
67,75,119,3,0,21,5,71.40239279996604,,71.38839380000718,71.40239279996604,72.40250810002908,72.40250810002908,72.40250810002908,74.75603549997322,t,2.3471020000288263,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
27,50,21,3,1,22,2,74.76905949995853,,74.75718489999417,74.76905949995853,75.76917650003452,75.76917650003452,75.76917650003452,77.57067399995867,l,1.7971332999877632,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
15,35,43,3,2,23,1,77.58586330001708,,77.57188810000662,77.58586330001708,78.5858877999708,78.5858877999708,78.5858877999708,81.62097699998412,l,3.0283531999448314,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
78,80,162,3,3,24,6,81.635676600039,,81.62212990003172,81.635676600039,82.63573600002564,82.63573600002564,82.63573600002564,84.38703690003604,t,1.734670199919492,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
40,55,62,3,4,25,3,84.40214919997379,,84.38832739996724,84.40214919997379,85.40233229997102,85.40233229997102,85.40233229997102,86.53721229999792,t,1.1205306999618188,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
11,30,7,3,5,26,0,86.55222029995639,,86.53818140004296,86.55222029995639,87.55232979997527,87.55232979997527,87.55232979997527,88.40501320001204,l,0.8494872000301257,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
49,60,89,3,6,27,4,88.41891999996733,,88.40619929996319,88.41891999996733,89.41909980005585,89.41909980005585,89.41909980005585,90.47105249995366,t,1.0378448999254033,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
78,80,162,4,0,28,6,90.48560689995065,,90.47224929998629,90.48560689995065,91.48563919996377,91.48563919996377,91.48563919996377,92.33728360000532,t,0.843065399909392,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
15,35,43,4,1,29,1,92.35233949997928,,92.33849949995056,92.35233949997928,93.35201859998051,93.35201859998051,93.35201859998051,95.00402019999456,t,1.640804099966772,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
