study_word,test,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
cushion,,,,,,,,,,1,1,2024-11-07_11h53.57.354,priming_exp,2024.1.5,None,2024-11-07 11h54.14.348411 +0530
book,,,,,,,,,,1,1,2024-11-07_11h53.57.354,priming_exp,2024.1.5,None,2024-11-07 11h54.14.348411 +0530
tiger,,,,,,,,,,1,1,2024-11-07_11h53.57.354,priming_exp,2024.1.5,None,2024-11-07 11h54.14.348411 +0530
vase,,,,,,,,,,1,1,2024-11-07_11h53.57.354,priming_exp,2024.1.5,None,2024-11-07 11h54.14.348411 +0530
piano,,,,,,,,,,1,1,2024-11-07_11h53.57.354,priming_exp,2024.1.5,None,2024-11-07 11h54.14.348411 +0530
,t_g_r,tiger,[-0.03827160493827161],[-0.3074074074074074],[1],[0],[0],[3.771392300259322],['text_3'],1,1,2024-11-07_11h53.57.354,priming_exp,2024.1.5,None,2024-11-07 11h54.14.348411 +0530
,f_b_i_,,[-0.03827160493827161],[-0.30061728395061726],[1],[0],[0],[4.972114299889654],['text_3'],1,1,2024-11-07_11h53.57.354,priming_exp,2024.1.5,None,2024-11-07 11h54.14.348411 +0530
,c_c_n_t,,[],[],[],[],[],[],[],1,1,2024-11-07_11h53.57.354,priming_exp,2024.1.5,None,2024-11-07 11h54.14.348411 +0530
,_a_e,cake,[-0.03827160493827161],[-0.30061728395061726],[1],[0],[0],[2.8126646000891924],['text_3'],1,1,2024-11-07_11h53.57.354,priming_exp,2024.1.5,None,2024-11-07 11h54.14.348411 +0530
,c_s_ i _n,cushion,[-0.043827160493827164],[-0.2975308641975309],[1],[0],[0],[2.5761102000251412],['text_3'],1,1,2024-11-07_11h53.57.354,priming_exp,2024.1.5,None,2024-11-07 11h54.14.348411 +0530
,_a_d_l,,[-0.043827160493827164],[-0.2975308641975309],[1],[0],[0],[7.037033800035715],['text_3'],1,1,2024-11-07_11h53.57.354,priming_exp,2024.1.5,None,2024-11-07 11h54.14.348411 +0530
,t_b_e_,table,[-0.043827160493827164],[-0.2975308641975309],[1],[0],[0],[2.394881600048393],['text_3'],1,1,2024-11-07_11h53.57.354,priming_exp,2024.1.5,None,2024-11-07 11h54.14.348411 +0530
,p_r_m_d,piramid,[-0.053703703703703705],[-0.29074074074074074],[1],[0],[0],[2.9092712001875043],['text_3'],1,1,2024-11-07_11h53.57.354,priming_exp,2024.1.5,None,2024-11-07 11h54.14.348411 +0530
,_oo_,book,[-0.06049382716049383],[-0.2845679012345679],[1],[0],[0],[2.4932837998494506],['text_3'],1,1,2024-11-07_11h53.57.354,priming_exp,2024.1.5,None,2024-11-07 11h54.14.348411 +0530
,p_a_o,piano,[-0.06851851851851852],[-0.2771604938271605],[1],[0],[0],[2.709260100033134],['text_3'],1,1,2024-11-07_11h53.57.354,priming_exp,2024.1.5,None,2024-11-07 11h54.14.348411 +0530
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Number of hit from study list ,7,,,,,,,,,,,,,,
,prop hit for non-primed words,,,,,,,,,,,,,,,
