study_word,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
vase,,0,0,0,0,,,,,0.07606999995186925,,0.025029700249433517,0.07606999995186925,0.07606999995186925,3.0854584998451173,1.0074074074074073,3.029052199795842,,,,,,,,,,,,,,,3,001,2024-11-07_12h12.17.622,priming_exp,2024.1.5,None,2024-11-07 12h12.38.387344 +0530,
cushion,,0,1,1,4,,,,,3.115799100138247,,3.0860612001270056,3.115799100138247,3.115799100138247,3.961310500279069,1.0074074074074073,0.8409653999842703,,,,,,,,,,,,,,,3,001,2024-11-07_12h12.17.622,priming_exp,2024.1.5,None,2024-11-07 12h12.38.387344 +0530,
piano,,0,2,2,3,,,,,3.9857748998329043,,3.961733100004494,3.9857748998329043,3.9857748998329043,4.5003992998972535,1.0074074074074073,0.5137652000412345,,,,,,,,,,,,,,,3,001,2024-11-07_12h12.17.622,priming_exp,2024.1.5,None,2024-11-07 12h12.38.387344 +0530,
tiger,,0,3,3,1,,,,,4.5233972002752125,,4.500723300036043,4.5233972002752125,4.5233972002752125,5.053012100048363,1.0074074074074073,0.5262223002500832,,,,,,,,,,,,,,,3,001,2024-11-07_12h12.17.622,priming_exp,2024.1.5,None,2024-11-07 12h12.38.387344 +0530,
book,,0,4,4,2,,,,,5.077622500248253,,5.053405100014061,5.077622500248253,5.077622500248253,6.8343263999558985,1.0074074074074073,1.7555042998865247,,,,,,,,,,,,,,,3,001,2024-11-07_12h12.17.622,priming_exp,2024.1.5,None,2024-11-07 12h12.38.387344 +0530,
,t_g_r,,,,,0,0,0,1,6.858266899827868,,,,,,,,6.841728100087494,6.858266899827868,6.858266899827868,6.858266899827868,0.012835599947720766,16.846789500210434,tiger,[],[],[],[],[],[],[],3,001,2024-11-07_12h12.17.622,priming_exp,2024.1.5,None,2024-11-07 12h12.38.387344 +0530,
,p_a_o,,,,,0,1,1,6,16.863269600085914,,,,,,,,16.848046800121665,16.863269600085914,16.863269600085914,16.863269600085914,0.017508599907159805,26.847678599879146,piano,[-0.05185185185185185],[-0.050617283950617285],[1],[0],[0],[8.862755800131708],[],3,001,2024-11-07_12h12.17.622,priming_exp,2024.1.5,None,2024-11-07 12h12.38.387344 +0530,
,c_s_ i _n,,,,,0,2,2,3,26.869443700183183,,,,,,,,26.849350600037724,26.869443700183183,26.869443700183183,26.869443700183183,0.020645199809223413,35.79931649984792,cushion,"[-0.03950617283950617, -0.028395061728395062]","[-0.11296296296296296, -0.2975308641975309]","[1, 1]","[0, 0]","[0, 0]","[7.642543199937791, 8.943081299774349]",['text_3'],3,001,2024-11-07_12h12.17.622,priming_exp,2024.1.5,None,2024-11-07 12h12.38.387344 +0530,
,p_r_m_d,,,,,0,3,3,5,35.820122099947184,,,,,,,,35.80044879997149,35.820122099947184,35.820122099947184,35.820122099947184,0.0075667002238333225,45.81316460017115,,[],[],[],[],[],[],[],3,001,2024-11-07_12h12.17.622,priming_exp,2024.1.5,None,2024-11-07 12h12.38.387344 +0530,
,_a_d_l,,,,,0,4,4,9,45.82933899993077,,,,,,,,45.814223300199956,45.82933899993077,45.82933899993077,45.82933899993077,0.018720900174230337,55.812645100057125,,[],[],[],[],[],[],[],3,001,2024-11-07_12h12.17.622,priming_exp,2024.1.5,None,2024-11-07 12h12.38.387344 +0530,
,t_b_e,,,,,0,5,5,8,55.82894050003961,,,,,,,,55.81356560019776,55.82894050003961,55.82894050003961,55.82894050003961,0.018134800251573324,61.98113310011104,table,[-0.028395061728395062],[-0.2975308641975309],[1],[0],[0],[6.1618565996177495],['text_3'],3,001,2024-11-07_12h12.17.622,priming_exp,2024.1.5,None,2024-11-07 12h12.38.387344 +0530,
,c_c_n_t,,,,,0,6,6,4,61.998368199914694,,,,,,,,61.98249439988285,61.998368199914694,61.998368199914694,61.998368199914694,0.005095399916172028,70.96428469987586,coconut,[-0.028395061728395062],[-0.2975308641975309],[1],[0],[0],[8.975893400143832],['text_3'],3,001,2024-11-07_12h12.17.622,priming_exp,2024.1.5,None,2024-11-07 12h12.38.387344 +0530,
,f_b_i_,,,,,0,7,7,7,70.98432049993426,,,,,,,,70.9659095001407,70.98432049993426,70.98432049993426,70.98432049993426,0.007807500194758177,80.97875160025433,,[],[],[],[],[],[],[],3,001,2024-11-07_12h12.17.622,priming_exp,2024.1.5,None,2024-11-07 12h12.38.387344 +0530,
,_a_e,,,,,0,8,8,0,80.99995120009407,,,,,,,,80.97967830020934,80.99995120009407,80.99995120009407,80.99995120009407,0.01913710031658411,87.18056590016931,vase,[-0.028395061728395062],[-0.2975308641975309],[1],[0],[0],[6.195067299995571],['text_3'],3,001,2024-11-07_12h12.17.622,priming_exp,2024.1.5,None,2024-11-07 12h12.38.387344 +0530,
,_oo_,,,,,0,9,9,2,87.19817440025508,,,,,,,,87.1816197000444,87.19817440025508,87.19817440025508,87.19817440025508,0.00405339989811182,93.36498650023714,book,[-0.028395061728395062],[-0.2975308641975309],[1],[0],[0],[6.178232599981129],['text_3'],3,001,2024-11-07_12h12.17.622,priming_exp,2024.1.5,None,2024-11-07 12h12.38.387344 +0530,
