Sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,line1.started,line2.started,line3.started,line4.started,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,,,,
-50,x,0,0,0,0,0.0288596,,0.0223063,0.0288596,1.0553675,1.0553675,1.0553675,1.0553675,1.0553675,2.0123599,2.0123599,2.5270112,x,1,0.4981546,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
150,v,0,1,1,1,2.5382548,,2.5329703,2.5382548,3.5454624,3.5454624,3.5454624,3.5454624,3.5454624,4.5456984,4.5456984,5.1638653,v,1,0.6011339,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
50,c,0,2,2,2,5.1787433,,5.1686116,5.1787433,6.1790878,6.1790878,6.1790878,6.1790878,6.1790878,7.1788525,7.1788525,7.5818292,c,1,0.3985846,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
-150,z,0,3,3,3,7.5953422,,7.587348,7.5953422,8.5956611,8.5956611,8.5956611,8.5956611,8.5956611,9.5958192,9.5958192,9.9469751,z,1,0.3344088,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
-50,x,1,0,4,0,9.9624469,,9.9509047,9.9624469,10.962199,10.962199,10.962199,10.962199,10.962199,11.962193,11.962193,12.3317339,x,1,0.3666887,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
150,v,1,1,5,1,12.3456463,,12.337319,12.3456463,13.3458088,13.3458088,13.3458088,13.3458088,13.3458088,14.3455095,14.3455095,14.8810606,v,1,0.519768,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
50,c,1,2,6,2,14.8953104,,14.886257,14.8953104,15.8955833,15.8955833,15.8955833,15.8955833,15.8955833,16.895525,16.895525,17.347479,c,1,0.4385617,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
-150,z,1,3,7,3,17.3620558,,17.3529095,17.3620558,18.3624572,18.3624572,18.3624572,18.3624572,18.3624572,19.3624547,19.3624547,19.714875,z,1,0.3350895,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
-50,x,2,0,8,0,19.7285204,,19.7192977,19.7285204,20.7287424,20.7287424,20.7287424,20.7287424,20.7287424,21.7285836,21.7285836,22.1306849,x,1,0.3906346,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
150,v,2,1,9,1,22.1458108,,22.1363122,22.1458108,23.145639,23.145639,23.145639,23.145639,23.145639,24.145691,24.145691,24.4634994,v,1,0.3031206,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
50,c,2,2,10,2,24.4782759,,24.4687167,24.4782759,25.4788749,25.4788749,25.4788749,25.4788749,25.4788749,26.4787415,26.4787415,26.8303966,c,1,0.3461752,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
-150,z,2,3,11,3,26.8456052,,26.8338295,26.8456052,27.8456024,27.8456024,27.8456024,27.8456024,27.8456024,28.8455243,28.8455243,29.2471899,z,1,0.3869606,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
-50,x,3,0,12,0,29.2616389,,29.2525652,29.2616389,30.2626141,30.2626141,30.2626141,30.2626141,30.2626141,31.2622708,31.2622708,31.5977361,x,1,0.3178008,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
150,v,3,1,13,1,31.6119395,,31.6024248,31.6119395,32.6116274,32.6116274,32.6116274,32.6116274,32.6116274,33.6123474,33.6123474,33.8150747,v,1,0.2001228,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
50,c,3,2,14,2,33.8286001,,33.821077,33.8286001,34.8287624,34.8287624,34.8287624,34.8287624,34.8287624,35.8285735,35.8285735,36.2800319,c,1,0.4396284,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
-150,z,3,3,15,3,36.2949934,,36.2838705,36.2949934,37.2955628,37.2955628,37.2955628,37.2955628,37.2955628,38.2956871,38.2956871,38.496009,z,1,0.1911076,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
-50,x,4,0,16,0,38.5115043,,38.5005308,38.5115043,39.5116585,39.5116585,39.5116585,39.5116585,39.5116585,40.5117075,40.5117075,40.6811477,x,1,0.1646377,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
150,v,4,1,17,1,40.6952877,,40.6873022,40.6952877,41.695705,41.695705,41.695705,41.695705,41.695705,42.69515,42.69515,42.8970998,v,1,0.1947179,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
50,c,4,2,18,2,42.9115455,,42.9032851,42.9115455,43.9117704,43.9117704,43.9117704,43.9117704,43.9117704,44.9115766,44.9115766,45.1296972,c,1,0.2125252,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
