word,colour,condition,cor_res,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,text_2.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Trail.started,fixation.started,key_resp.started,fixation.stopped,text.started,Trail.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,Thank_you.started,text_3.started,text_3.stopped,Thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.03202390018850565,0.042000200133770704,0.042000200133770704,2.5815338999964297,space,2.5291929999366403,None,,,,,,,,,,,,,,,1,001,2024-12-04_14h19.16.590,emotional_stroop,2024.1.5,None,2024-12-04 14h19.28.547024 +0530,
Guilt,red,I,r,0,0,0,1,2.6094786000903696,,,,,,,,,2.59717239998281,2.6094786000903696,2.6094786000903696,4.415966200176626,4.415966200176626,5.586300499970093,r,1,2.9734237000811845,None,,,,,1,001,2024-12-04_14h19.16.590,emotional_stroop,2024.1.5,None,2024-12-04 14h19.28.547024 +0530,
Death,green,I,g,0,1,1,10,5.615413200110197,,,,,,,,,5.587714600143954,5.615413200110197,5.615413200110197,6.117177000036463,6.100398000096902,7.236235900083557,g,1,1.615634299814701,None,,,,,1,001,2024-12-04_14h19.16.590,emotional_stroop,2024.1.5,None,2024-12-04 14h19.28.547024 +0530,
Bomb,yellow,I,y,0,2,2,24,7.253863000078127,,,,,,,,,7.23717169999145,7.253863000078127,7.253863000078127,7.770312000066042,7.753304100129753,9.252599600004032,y,1,1.9911930998787284,None,,,,,1,001,2024-12-04_14h19.16.590,emotional_stroop,2024.1.5,None,2024-12-04 14h19.28.547024 +0530,
Terror,yellow,I,y,0,3,3,8,9.27054090006277,,,,,,,,,9.254597200080752,9.27054090006277,9.27054090006277,9.78943939995952,9.770789300091565,11.106048400048167,y,1,1.8298492000903934,None,,,,,1,001,2024-12-04_14h19.16.590,emotional_stroop,2024.1.5,None,2024-12-04 14h19.28.547024 +0530,
Sadness,yellow,I,y,0,4,4,4,11.132078800117597,,,,,,,,,11.107349200174212,11.132078800117597,11.132078800117597,11.647042900091037,11.622820400167257,13.357183400075883,y,1,2.2197445000056177,None,,,,,1,001,2024-12-04_14h19.16.590,emotional_stroop,2024.1.5,None,2024-12-04 14h19.28.547024 +0530,
Pen,green,C,g,0,5,5,14,13.374025100143626,,,,,,,,,13.358957400079817,13.374025100143626,13.374025100143626,13.88670999999158,13.870066800154746,15.520395600004122,g,1,2.1421328999567777,None,,,,,1,001,2024-12-04_14h19.16.590,emotional_stroop,2024.1.5,None,2024-12-04 14h19.28.547024 +0530,
Box,red,C,r,0,6,6,5,15.53844580007717,,,,,,,,,15.521788300015032,15.53844580007717,15.53844580007717,16.053875799989328,16.037035300163552,17.404181400081143,r,1,1.8518922999501228,None,,,,,1,001,2024-12-04_14h19.16.590,emotional_stroop,2024.1.5,None,2024-12-04 14h19.28.547024 +0530,
Pain,blue,I,b,0,7,7,15,17.42488669999875,,,,,,,,,17.405330799985677,17.42488669999875,17.42488669999875,17.932365900138393,17.91549489996396,19.819690000033006,b,1,2.3919785998295993,None,,,,,1,001,2024-12-04_14h19.16.590,emotional_stroop,2024.1.5,None,2024-12-04 14h19.28.547024 +0530,
Clock,red,C,r,0,8,8,13,19.84002560004592,,,,,,,,,19.82055680011399,19.84002560004592,19.84002560004592,20.34932869998738,20.33208140009083,21.51987179997377,r,1,1.668818400008604,None,,,,,1,001,2024-12-04_14h19.16.590,emotional_stroop,2024.1.5,None,2024-12-04 14h19.28.547024 +0530,
Fear,yellow,I,y,0,9,9,28,21.540444900048897,,,,,,,,,21.520890000043437,21.540444900048897,21.540444900048897,22.052600300172344,22.036492899991572,23.719446200178936,y,1,2.1695434998255223,None,,,,,1,001,2024-12-04_14h19.16.590,emotional_stroop,2024.1.5,None,2024-12-04 14h19.28.547024 +0530,
Hate,green,I,g,0,10,10,22,23.74138980009593,,,,,,,,,23.720788900041953,23.74138980009593,23.74138980009593,24.251445700181648,24.234863700112328,25.017900800099596,g,1,1.261113699991256,None,,,,,1,001,2024-12-04_14h19.16.590,emotional_stroop,2024.1.5,None,2024-12-04 14h19.28.547024 +0530,
Door,green,C,g,0,11,11,26,25.036899200174958,,,,,,,,,25.018864799989387,25.036899200174958,25.036899200174958,25.548988500144333,25.531764599960297,26.254230600083247,g,1,1.202303199796006,None,,,,,1,001,2024-12-04_14h19.16.590,emotional_stroop,2024.1.5,None,2024-12-04 14h19.28.547024 +0530,
Murder,green,I,g,0,12,12,18,26.28421390010044,,,,,,,,,26.256329600000754,26.28421390010044,26.28421390010044,26.78606149996631,26.768871300155297,27.486103100003675,g,1,1.1886748999822885,None,,,,,1,001,2024-12-04_14h19.16.590,emotional_stroop,2024.1.5,None,2024-12-04 14h19.28.547024 +0530,
Dear,blue,C,b,0,13,13,19,27.506226200144738,,,,,,,,,27.487155199982226,27.506226200144738,27.506226200144738,28.016390200005844,27.999293399974704,29.085574900032952,b,1,1.5618557000998408,None,,,,,1,001,2024-12-04_14h19.16.590,emotional_stroop,2024.1.5,None,2024-12-04 14h19.28.547024 +0530,
Chair,blue,C,b,0,14,14,7,29.104198400164023,,,,,,,,,29.087037099990994,29.104198400164023,29.104198400164023,29.61470320005901,29.598601500038058,30.335114700021222,b,1,1.2238223000895232,None,,,,,1,001,2024-12-04_14h19.16.590,emotional_stroop,2024.1.5,None,2024-12-04 14h19.28.547024 +0530,
Chalk,green,C,g,0,15,15,2,30.353242200100794,,,,,,,,,30.336100300075486,30.353242200100794,30.353242200100794,30.867908700136468,30.85112650017254,31.91883740015328,g,1,1.555297400103882,None,,,,,1,001,2024-12-04_14h19.16.590,emotional_stroop,2024.1.5,None,2024-12-04 14h19.28.547024 +0530,
Window,blue,C,b,0,16,16,23,31.939243600005284,,,,,,,,,31.91975470003672,31.939243600005284,31.939243600005284,32.45089680003002,32.435216600075364,33.61812220001593,b,1,1.6674944998230785,None,,,,,1,001,2024-12-04_14h19.16.590,emotional_stroop,2024.1.5,None,2024-12-04 14h19.28.547024 +0530,
