word,colour,condition,cor_res,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,text_2.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Trail.started,fixation.started,key_resp.started,text.started,fixation.stopped,Trail.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,Thank_you.started,text_3.started,text_3.stopped,Thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.02955939993262291,0.04603169998154044,0.04603169998154044,4.785248199943453,space,4.72783389990218,None,,,,,,,,,,,,,,,6,001,2024-12-04_14h25.53.022,emotional_stroop,2024.1.5,None,2024-12-04 14h26.06.904962 +0530,
Hate,green,I,g,0,0,0,22,4.812060299795121,,,,,,,,,4.798854899825528,4.812060299795121,4.812060299795121,5.2932376998942345,5.326619799947366,6.261564799817279,g,1,1.4466349999420345,None,,,,,6,001,2024-12-04_14h25.53.022,emotional_stroop,2024.1.5,None,2024-12-04 14h26.06.904962 +0530,
Chalk,yellow,C,y,0,1,1,16,6.276800799882039,,,,,,,,,6.263198599917814,6.276800799882039,6.276800799882039,6.7766207999084145,6.7766207999084145,7.861180000007153,y,1,1.5703902998939157,None,,,,,6,001,2024-12-04_14h25.53.022,emotional_stroop,2024.1.5,None,2024-12-04 14h26.06.904962 +0530,
Misery,red,I,r,0,2,2,25,7.876572699984536,,,,,,,,,7.861982999835163,7.876572699984536,7.876572699984536,8.376546199899167,8.376546199899167,9.695175800006837,r,1,1.8036474001128227,None,,,,,6,001,2024-12-04_14h25.53.022,emotional_stroop,2024.1.5,None,2024-12-04 14h26.06.904962 +0530,
Broom,red,C,r,0,3,3,21,9.70990559994243,,,,,,,,,9.696159799816087,9.70990559994243,9.70990559994243,10.209895799867809,10.209895799867809,11.061979999998584,r,1,1.3484412000980228,None,,,,,6,001,2024-12-04_14h25.53.022,emotional_stroop,2024.1.5,None,2024-12-04 14h26.06.904962 +0530,
Flower,green,C,g,0,4,4,30,11.076334999874234,,,,,,,,,11.062976299785078,11.076334999874234,11.076334999874234,11.576427399879321,11.576427399879321,12.427779099904,g,1,1.3362054999452084,None,,,,,6,001,2024-12-04_14h25.53.022,emotional_stroop,2024.1.5,None,2024-12-04 14h26.06.904962 +0530,
Box,red,C,r,0,5,5,5,12.443311400013044,,,,,,,,,12.428601399995387,12.443311400013044,12.443311400013044,12.943202700000256,12.943202700000256,13.54516929993406,r,1,1.0977615001611412,None,,,,,6,001,2024-12-04_14h25.53.022,emotional_stroop,2024.1.5,None,2024-12-04 14h26.06.904962 +0530,
Anxious,green,I,g,0,6,6,6,13.559800299815834,,,,,,,,,13.546179399825633,13.559800299815834,13.559800299815834,14.060038399882615,14.060038399882615,15.227620399789885,g,1,1.6599602000787854,None,,,,,6,001,2024-12-04_14h25.53.022,emotional_stroop,2024.1.5,None,2024-12-04 14h26.06.904962 +0530,
Murder,green,I,g,0,7,7,18,15.24299729987979,,,,,,,,,15.228297999827191,15.24299729987979,15.24299729987979,15.743096999824047,15.743096999824047,17.044582299888134,g,1,1.7866267000790685,None,,,,,6,001,2024-12-04_14h25.53.022,emotional_stroop,2024.1.5,None,2024-12-04 14h26.06.904962 +0530,
Chair,blue,C,b,0,8,8,7,17.059706299798563,,,,,,,,,17.04551439988427,17.059706299798563,17.059706299798563,17.559716899879277,17.559716899879277,18.31098369997926,b,1,1.2438308000564575,None,,,,,6,001,2024-12-04_14h25.53.022,emotional_stroop,2024.1.5,None,2024-12-04 14h26.06.904962 +0530,
