Participant ID,Condition,Reaction Time
1,Neutral,1611.208475
1,Emotional,1898.974553
2,Neutral,1737.204781
2,Emotional,1997.10904
3,Neutral,1993.099306
3,Emotional,1925.30934
4,Neutral,1619.00475
4,Emotional,2120.858073
5,Neutral,1513.465056
5,Emotional,1937.869587
6,Neutral,1531.350575
6,Emotional,1555.218593
7,Neutral,1135.33915
7,Emotional,1425.650713
8,Neutral,1227.021894
8,Emotional,1842.68924
9,Neutral,1206.472231
9,Emotional,1466.642733
10,Neutral,1145.925525
10,Emotional,1763.000493
