trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,mouse.time,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,0,0,0,0.0499466,,0.0191334,5,1.2579588,0.0499466,0.0499466,0.0344651,2.7844151,[-0.14444444444444443],[-0.1527777777777778],[1],[0],[0],,['target'],P3,1,2024-10-10_11h19.41.839,untitled,2024.1.5,None,2024-10-10 11h20.10.708007 +0530
1,0,1,0,2.816191,,2.7862944,5,1.4405926,2.816191,2.816191,0.0076837,4.0518942,[0.019444444444444445],[0.05416666666666667],[1],[0],[0],,['target'],P3,1,2024-10-10_11h19.41.839,untitled,2024.1.5,None,2024-10-10 11h20.10.708007 +0530
2,0,2,0,4.0829644,,4.0533616,5,1.5588501,4.0829644,4.0829644,0.0148191,5.6685548,[0.25972222222222224],[-0.20833333333333334],[1],[0],[0],,['target'],P3,1,2024-10-10_11h19.41.839,untitled,2024.1.5,None,2024-10-10 11h20.10.708007 +0530
3,0,3,0,5.6991878,,5.6701603,5,1.876455,5.6991878,5.6991878,0.0153637,6.9185085,[0.3402777777777778],[-0.0625],[1],[0],[0],,['target'],P3,1,2024-10-10_11h19.41.839,untitled,2024.1.5,None,2024-10-10 11h20.10.708007 +0530
4,0,4,0,6.9494282,,6.9199606,5,1.954629,6.9494282,6.9494282,0.0147961,8.8019477,[0.31527777777777777],[-0.42777777777777776],[1],[0],[0],,['target'],P3,1,2024-10-10_11h19.41.839,untitled,2024.1.5,None,2024-10-10 11h20.10.708007 +0530
5,0,5,0,8.8328157,,8.8034141,5,1.6228728,8.8328157,8.8328157,0.0077237,10.2518158,[0.4708333333333333],[-0.16527777777777777],[1],[0],[0],,['target'],P3,1,2024-10-10_11h19.41.839,untitled,2024.1.5,None,2024-10-10 11h20.10.708007 +0530
6,0,6,0,10.2829976,,10.2532897,5,2.4754145,10.2829976,10.2829976,0.0149204,12.670403,[-0.5097222222222222],[0.24444444444444444],[1],[0],[0],,['target'],P3,1,2024-10-10_11h19.41.839,untitled,2024.1.5,None,2024-10-10 11h20.10.708007 +0530
7,0,7,0,12.7333519,,12.6746903,5,2.0312995,12.7333519,12.7333519,0.0394563,15.2189946,[-0.40694444444444444],[-0.39305555555555555],[1],[0],[0],,['target'],P3,1,2024-10-10_11h19.41.839,untitled,2024.1.5,None,2024-10-10 11h20.10.708007 +0530
8,0,8,0,15.2662441,,15.2234766,5,1.3870725,15.2662441,15.2662441,0.0208427,16.8027514,[0.4444444444444444],[-0.15833333333333333],[1],[0],[0],,['target'],P3,1,2024-10-10_11h19.41.839,untitled,2024.1.5,None,2024-10-10 11h20.10.708007 +0530
9,0,9,0,16.8673798,,16.8074292,5,1.4080128,16.8673798,16.8673798,0.0362482,18.6019761,[0.17222222222222222],[-0.27361111111111114],[1],[0],[0],,['target'],P3,1,2024-10-10_11h19.41.839,untitled,2024.1.5,None,2024-10-10 11h20.10.708007 +0530
10,0,10,0,18.6829188,,18.6062823,5,1.6085517,18.6829188,18.6829188,0.0563904,20.7684037,[-0.41944444444444445],[-0.17083333333333334],[1],[0],[0],,['target'],P3,1,2024-10-10_11h19.41.839,untitled,2024.1.5,None,2024-10-10 11h20.10.708007 +0530
11,0,11,0,20.8154206,,20.773954,5,1.8330271,20.8154206,20.8154206,0.0194382,22.6696345,[-0.22777777777777777],[-0.18472222222222223],[1],[0],[0],,['target'],P3,1,2024-10-10_11h19.41.839,untitled,2024.1.5,None,2024-10-10 11h20.10.708007 +0530
12,0,12,0,22.7328909,,22.673922,5,1.4896144,22.7328909,22.7328909,0.0376007,24.9202945,[0.18194444444444444],[0.37083333333333335],[1],[0],[0],,['target'],P3,1,2024-10-10_11h19.41.839,untitled,2024.1.5,None,2024-10-10 11h20.10.708007 +0530
