trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,mouse.time,,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,0,0,0,0.0949088,,0.0160342,5,1.7009268,,0.0949088,0.0949088,0.0655342,1.7308096,[0.21805555555555556],[-0.31666666666666665],[1],[0],[0],,['target'],P4,1,2024-10-10_11h27.38.471,untitled,2024.1.5,None,2024-10-10 11h27.50.612678 +0530
1,0,1,0,1.7944008,,1.7373861,5,1.4181864,,1.7944008,1.7944008,0.0421907,3.2974989,[-0.4263888888888889],[0.05416666666666667],[1],[0],[0],,['target'],P4,1,2024-10-10_11h27.38.471,untitled,2024.1.5,None,2024-10-10 11h27.50.612678 +0530
2,0,2,0,3.3610343,,3.302802,5,1.8611348,,3.3610343,3.3610343,0.0463741,4.8646971,[0.4013888888888889],[0.13472222222222222],[1],[0],[0],,['target'],P4,1,2024-10-10_11h27.38.471,untitled,2024.1.5,None,2024-10-10 11h27.50.612678 +0530
3,0,3,0,4.9114339,,4.8698773,5,1.9923089,,4.9114339,4.9114339,0.0278015,6.5983675,[0.044444444444444446],[-0.38333333333333336],[1],[0],[0],,['target'],P4,1,2024-10-10_11h27.38.471,untitled,2024.1.5,None,2024-10-10 11h27.50.612678 +0530
4,0,4,0,6.6611272,,6.6038665,5,1.4375658,,6.6611272,6.6611272,0.0395268,8.6969493,[0.14305555555555555],[0.25833333333333336],[1],[0],[0],,['target'],P4,1,2024-10-10_11h27.38.471,untitled,2024.1.5,None,2024-10-10 11h27.50.612678 +0530
5,0,5,0,8.7605093,,8.7023084,5,1.1643177,,8.7605093,8.7605093,0.0428065,10.463383,[-0.43333333333333335],[0.020833333333333332],[1],[0],[0],,['target'],P4,1,2024-10-10_11h27.38.471,untitled,2024.1.5,None,2024-10-10 11h27.50.612678 +0530
6,0,6,0,10.509534,,10.4686786,5,1.512812,,10.509534,10.509534,0.0294581,11.9161109,[0.3277777777777778],[0.3333333333333333],[1],[0],[0],,['target'],P4,1,2024-10-10_11h27.38.471,untitled,2024.1.5,None,2024-10-10 11h27.50.612678 +0530
7,0,7,0,11.9941137,,11.9211938,5,2.5421934,,11.9941137,11.9941137,0.0497136,13.696646,[-0.2777777777777778],[0.30972222222222223],[1],[0],[0],,['target'],P4,1,2024-10-10_11h27.38.471,untitled,2024.1.5,None,2024-10-10 11h27.50.612678 +0530
8,0,8,0,13.7441783,,13.7013803,5,2.6227518,,13.7441783,13.7441783,0.0199263,15.5824341,[-0.16805555555555557],[-0.3972222222222222],[1],[0],[0],,['target'],P4,1,2024-10-10_11h27.38.471,untitled,2024.1.5,None,2024-10-10 11h27.50.612678 +0530
9,0,9,0,15.6612159,,15.5865001,5,2.1232584,,15.6612159,15.6612159,0.0446277,17.3151539,[0.12916666666666668],[0.025],[1],[0],[0],,['target'],P4,1,2024-10-10_11h27.38.471,untitled,2024.1.5,None,2024-10-10 11h27.50.612678 +0530
10,0,10,0,17.3775581,,17.3192641,5,1.8750073,,17.3775581,17.3775581,0.0388321,20.1820795,[0.29444444444444445],[-0.1763888888888889],[1],[0],[0],,['target'],P4,1,2024-10-10_11h27.38.471,untitled,2024.1.5,None,2024-10-10 11h27.50.612678 +0530
11,0,11,0,20.2272615,,20.1862291,5,1.9579803,,20.2272615,20.2272615,0.0195108,22.1978479,[0.30277777777777776],[-0.3875],[1],[0],[0],,['target'],P4,1,2024-10-10_11h27.38.471,untitled,2024.1.5,None,2024-10-10 11h27.50.612678 +0530
12,0,12,0,22.2610098,,22.2019297,5,1.1750045,,22.2610098,22.2610098,0.0336134,24.4309037,[-0.48333333333333334],[0.20277777777777778],[1],[0],[0],,['target'],P4,1,2024-10-10_11h27.38.471,untitled,2024.1.5,None,2024-10-10 11h27.50.612678 +0530
13,0,13,0,24.4776969,,24.4353255,5,1.8119928,,24.4776969,24.4776969,0.0256752,25.898214,[0.3388888888888889],[-0.22777777777777777],[1],[0],[0],,['target'],P4,1,2024-10-10_11h27.38.471,untitled,2024.1.5,None,2024-10-10 11h27.50.612678 +0530
14,0,14,0,25.9602816,,25.901653,5,1.1912425,,25.9602816,25.9602816,0.0314376,27.7799305,[0.33611111111111114],[0.20694444444444443],[1],[0],[0],,['target'],P4,1,2024-10-10_11h27.38.471,untitled,2024.1.5,None,2024-10-10 11h27.50.612678 +0530
15,0,15,0,27.8271446,,27.7836304,5,1.4930698,,27.8271446,27.8271446,0.0172312,28.9652006,[0.3402777777777778],[-0.20277777777777778],[1],[0],[0],,['target'],P4,1,2024-10-10_11h27.38.471,untitled,2024.1.5,None,2024-10-10 11h27.50.612678 +0530
16,0,16,0,29.0268264,,28.9692572,5,1.723621,,29.0268264,29.0268264,0.0373349,31.1976593,[-0.12083333333333333],[0.13333333333333333],[1],[0],[0],,['target'],P4,1,2024-10-10_11h27.38.471,untitled,2024.1.5,None,2024-10-10 11h27.50.612678 +0530
17,0,17,0,31.2608539,,31.2019034,5,1.5468798,,31.2608539,31.2608539,0.0388381,32.9963571,[0.06944444444444445],[-0.10138888888888889],[1],[0],[0],,['target'],P4,1,2024-10-10_11h27.38.471,untitled,2024.1.5,None,2024-10-10 11h27.50.612678 +0530
18,0,18,0,33.0435022,,33.0000556,5,1.5227372,,33.0435022,33.0435022,0.0183803,34.5310351,[0.04861111111111111],[0.4111111111111111],[1],[0],[0],,['target'],P4,1,2024-10-10_11h27.38.471,untitled,2024.1.5,None,2024-10-10 11h27.50.612678 +0530
19,0,19,0,34.577191,,34.5345841,5,2.0390309,,34.577191,34.577191,0.0202521,37.0968414,[0.36944444444444446],[0.17083333333333334],[1],[0],[0],,['target'],P4,1,2024-10-10_11h27.38.471,untitled,2024.1.5,None,2024-10-10 11h27.50.612678 +0530
20,0,20,0,37.1479093,,37.1032007,5,1.8036015,,37.1479093,37.1479093,0.020441,39.7461801,[0.04027777777777778],[-0.022222222222222223],[1],[0],[0],,['target'],P4,1,2024-10-10_11h27.38.471,untitled,2024.1.5,None,2024-10-10 11h27.50.612678 +0530
21,0,21,0,39.7933786,,39.7517144,5,2.2721874,,39.7933786,39.7933786,0.0234927,41.8979864,[-0.41944444444444445],[0.2972222222222222],[1],[0],[0],,['target'],P4,1,2024-10-10_11h27.38.471,untitled,2024.1.5,None,2024-10-10 11h27.50.612678 +0530
22,0,22,0,41.9438516,,41.902418,5,1.8752047,,41.9438516,41.9438516,0.0202699,43.7974632,[0.5],[-0.04861111111111111],[1],[0],[0],,['target'],P4,1,2024-10-10_11h27.38.471,untitled,2024.1.5,None,2024-10-10 11h27.50.612678 +0530
23,0,23,0,43.843525,,43.8024225,5,1.9941447,,43.843525,43.843525,0.0198556,45.7801953,[0.11527777777777778],[-0.10555555555555556],[1],[0],[0],,['target'],P4,1,2024-10-10_11h27.38.471,untitled,2024.1.5,None,2024-10-10 11h27.50.612678 +0530
24,0,24,0,45.8266618,,45.7847744,5,1.5779187,,45.8266618,45.8266618,0.020449,46.979981,[-0.05416666666666667],[0.0625],[1],[0],[0],,['target'],P4,1,2024-10-10_11h27.38.471,untitled,2024.1.5,None,2024-10-10 11h27.50.612678 +0530
25,0,25,0,47.02712,,46.9843061,5,1.4580533,,47.02712,47.02712,0.0201889,48.8165561,[0.09166666666666666],[0.36666666666666664],[1],[0],[0],,['target'],P4,1,2024-10-10_11h27.38.471,untitled,2024.1.5,None,2024-10-10 11h27.50.612678 +0530
26,0,26,0,48.8770991,,48.8216265,5,1.7603604,,48.8770991,48.8770991,0.035857,50.0483883,[0.4847222222222222],[-0.10555555555555556],[1],[0],[0],,['target'],P4,1,2024-10-10_11h27.38.471,untitled,2024.1.5,None,2024-10-10 11h27.50.612678 +0530
27,0,27,0,50.0939257,,50.052589,5,1.5433015,,50.0939257,50.0939257,0.0201244,51.5654265,[0.015277777777777777],[-0.09583333333333334],[1],[0],[0],,['target'],P4,1,2024-10-10_11h27.38.471,untitled,2024.1.5,None,2024-10-10 11h27.50.612678 +0530
28,0,28,0,51.6099454,,51.5685023,5,1.7544615,,51.6099454,51.6099454,0.0204294,53.3128041,[-0.0125],[-0.058333333333333334],[1],[0],[0],,['target'],P4,1,2024-10-10_11h27.38.471,untitled,2024.1.5,None,2024-10-10 11h27.50.612678 +0530
29,0,29,0,53.3769805,,53.3170724,5,1.980323,,53.3769805,53.3769805,0.036476,55.3302311,[-0.4638888888888889],[-0.4444444444444444],[1],[0],[0],,['target'],P4,1,2024-10-10_11h27.38.471,untitled,2024.1.5,None,2024-10-10 11h27.50.612678 +0530
30,0,30,0,55.395939,,55.3343068,5,2.0105961,,55.395939,55.395939,0.0398405,57.0458852,[0.3486111111111111],[0.06111111111111111],[1],[0],[0],,['target'],P4,1,2024-10-10_11h27.38.471,untitled,2024.1.5,None,2024-10-10 11h27.50.612678 +0530
31,0,31,0,57.0762389,,57.0495384,5,1.3385867,,57.0762389,57.0762389,0.017491,58.6137862,[-0.275],[0.12916666666666668],[1],[0],[0],,['target'],P4,1,2024-10-10_11h27.38.471,untitled,2024.1.5,None,2024-10-10 11h27.50.612678 +0530
32,0,32,0,58.6605831,,58.619437,5,1.3434412,,58.6605831,58.6605831,0.0220452,60.1634654,[-0.008333333333333333],[-0.14583333333333334],[1],[0],[0],,['target'],P4,1,2024-10-10_11h27.38.471,untitled,2024.1.5,None,2024-10-10 11h27.50.612678 +0530
33,0,33,0,60.2100675,,60.1693589,5,1.5811142,,60.2100675,60.2100675,0.022981,62.2312602,[0.4083333333333333],[0.059722222222222225],[1],[0],[0],,['target'],P4,1,2024-10-10_11h27.38.471,untitled,2024.1.5,None,2024-10-10 11h27.50.612678 +0530
34,0,34,0,62.277384,,62.2354649,5,1.6252891,,62.277384,62.277384,0.0249403,64.0640193,[-0.23194444444444445],[-0.2111111111111111],[1],[0],[0],,['target'],P4,1,2024-10-10_11h27.38.471,untitled,2024.1.5,None,2024-10-10 11h27.50.612678 +0530
35,0,35,0,64.111138,,64.0681784,5,1.3772747,,64.111138,64.111138,0.0228388,66.3629124,[0.27361111111111114],[-0.25],[1],[0],[0],,['target'],P4,1,2024-10-10_11h27.38.471,untitled,2024.1.5,None,2024-10-10 11h27.50.612678 +0530
36,0,36,0,66.4095289,,66.369283,5,1.2372873,,66.4095289,66.4095289,0.0198911,68.2644202,[-0.1361111111111111],[0.17222222222222222],[1],[0],[0],,['target'],P4,1,2024-10-10_11h27.38.471,untitled,2024.1.5,None,2024-10-10 11h27.50.612678 +0530
37,0,37,0,68.3266575,,68.2688992,5,1.9088427,,68.3266575,68.3266575,0.0383304,69.5975976,[0.23055555555555557],[-0.1527777777777778],[1],[0],[0],,['target'],P4,1,2024-10-10_11h27.38.471,untitled,2024.1.5,None,2024-10-10 11h27.50.612678 +0530
38,0,38,0,69.6599995,,69.6019204,5,1.3068294,,69.6599995,69.6599995,0.0319986,71.4799916,[0.09722222222222222],[0.4361111111111111],[1],[0],[0],,['target'],P4,1,2024-10-10_11h27.38.471,untitled,2024.1.5,None,2024-10-10 11h27.50.612678 +0530
39,0,39,0,71.5464044,,71.484134,5,1.959509,,71.5464044,71.5464044,0.0415357,73.3968437,[-0.24861111111111112],[-0.1375],[1],[0],[0],,['target'],P4,1,2024-10-10_11h27.38.471,untitled,2024.1.5,None,2024-10-10 11h27.50.612678 +0530
40,0,40,0,73.443122,,73.4008034,5,1.2577561,,73.443122,73.443122,0.0186889,75.4135222,[-0.3277777777777778],[-0.38055555555555554],[1],[0],[0],,['target'],P4,1,2024-10-10_11h27.38.471,untitled,2024.1.5,None,2024-10-10 11h27.50.612678 +0530
41,0,41,0,75.4774835,,75.4183615,5,1.7650028,,75.4774835,75.4774835,0.0324866,78.4472644,[-0.43472222222222223],[0.14027777777777778],[1],[0],[0],,['target'],P4,1,2024-10-10_11h27.38.471,untitled,2024.1.5,None,2024-10-10 11h27.50.612678 +0530
42,0,42,0,78.4929109,,78.451662,5,1.308774,,78.4929109,78.4929109,0.0188498,80.0484709,[-0.008333333333333333],[-0.06666666666666667],[1],[0],[0],,['target'],P4,1,2024-10-10_11h27.38.471,untitled,2024.1.5,None,2024-10-10 11h27.50.612678 +0530
43,0,43,0,80.1272427,,80.0526545,5,1.3235412,,80.1272427,80.1272427,0.0375434,81.496494,[-0.4791666666666667],[-0.1986111111111111],[1],[0],[0],,['target'],P4,1,2024-10-10_11h27.38.471,untitled,2024.1.5,None,2024-10-10 11h27.50.612678 +0530
